order,timeline_start,timeline_end,source_start,source_end,kind,story_beat,audio_level,narration,purpose,clip
25,521.061,543.128,2830,2852,montage,reversal,0.2,그런데 서영철이 도망칩니다.,서영철의 도주로 백신 확보 작전이 다시 추격전으로 바뀌는 순간을 보여 준다.,clips_v4_curiosity_hook\clip_025_montage.mp4
26,543.128,565.194,2954,2976,movie_dialogue,reversal,0.96,,감염자들이 서영철을 공격하지 않는 현상으로 백신 주장을 강화한다.,clips_v4_curiosity_hook\clip_026_movie_dialogue.mp4
27,565.194,587.26,3000,3022,narration,reversal,0.18,놈들은 이제 인간의 움직임까지 흉내 냅니다.,감염자들의 모방 행동과 CCTV 추적 계획을 다음 단계의 위협으로 연결한다.,clips_v4_curiosity_hook\clip_027_narration.mp4
28,587.26,609.294,3050,3072,narration,rising_action,0.17,한편 조사팀은 감염망의 중심이 따로 있음을 알아냅니다.,외부 조사 팀의 발견을 통해 감염망에 중심 개체가 존재할 가능성을 제시한다.,clips_v4_curiosity_hook\clip_028_narration.mp4
29,609.294,631.327,3230,3252,narration,rising_action,0.18,CCTV 속 움직임에는 이상한 규칙이 있었습니다.,통제실 도착을 안전 확보가 아니라 감염망 관찰의 시작으로 전환한다.,clips_v4_curiosity_hook\clip_029_narration.mp4
30,631.327,653.36,3425,3447,movie_dialogue,rising_action,0.94,,서영철이 감염자들의 시야를 공유할 수 있다는 가설을 원음으로 명확히 한다.,clips_v4_curiosity_hook\clip_030_movie_dialogue.mp4
31,653.36,675.426,3500,3522,narration,rising_action,0.19,보고 있는 쪽은 오히려 서영철이었습니다.,추적 대상이 오히려 생존자들을 감시한다는 관계 역전을 강조한다.,clips_v4_curiosity_hook\clip_031_narration.mp4
32,675.426,697.46,3570,3592,narration,rising_action,0.18,그리고 그는 최초 감염자 강우철에게 향합니다.,서영철이 강우철을 찾아가는 움직임을 두 인물의 재대결과 새 반전으로 연결한다.,clips_v4_curiosity_hook\clip_032_narration.mp4
33,697.46,719.493,3610,3632,narration,reversal,0.2,"물린 뒤, 서영철에게 더 이상한 변화가 시작됩니다.",강우철에게 물린 서영철의 변화가 백신 전제에 균열을 내도록 한다.,clips_v4_curiosity_hook\clip_033_narration.mp4
34,719.493,741.526,3720,3742,montage,reversal,0.21,순간 흩어진 감염자들이 하나처럼 움직입니다.,감염자들의 조직적인 움직임으로 서영철의 통제력이 실제임을 입증한다.,clips_v4_curiosity_hook\clip_034_montage.mp4
35,741.526,763.559,3810,3832,movie_dialogue,reversal,0.97,,서영철이 감염망의 능동적인 조종자라는 중반 핵심 반전을 확정한다.,clips_v4_curiosity_hook\clip_035_movie_dialogue.mp4
36,763.559,785.592,3850,3872,narration,crisis,0.16,말하는 순간 계획이 들킵니다. 남은 방법은 문자뿐.,말로 세운 계획이 서영철에게 노출될 수 있어 문자만 써야 하는 제약을 추가한다.,clips_v4_curiosity_hook\clip_036_narration.mp4
37,785.592,807.626,4012,4034,movie_dialogue,crisis,0.94,,집단의 생존을 위해 나윤을 버리자는 냉혹한 판단을 원음으로 충돌시킨다.,clips_v4_curiosity_hook\clip_037_movie_dialogue.mp4
38,807.626,829.659,4110,4132,narration,crisis,0.15,현석은 누나와 모두의 생존 사이에서 선택해야 합니다.,현석의 가족 구출과 서영철 호송 사이의 선택을 감정적 위기로 확장한다.,clips_v4_curiosity_hook\clip_038_narration.mp4
39,829.659,851.725,4200,4222,movie_dialogue,crisis,0.96,,나윤이 자신의 구조를 포기하고 동생에게 마지막 길을 알려 주는 감정적 정점을 살린다.,clips_v4_curiosity_hook\clip_039_movie_dialogue.mp4
40,851.725,873.758,4310,4332,narration,rising_action,0.18,밖에서는 구조가 아닌 진압을 준비합니다.,정부가 구조보다 진압과 책임 회피를 우선하는 후반부 갈등을 제시한다.,clips_v4_curiosity_hook\clip_040_narration.mp4
41,873.758,895.825,4458,4480,movie_dialogue,rising_action,0.94,,핵심 개체를 제거하면 전체가 멈춘다는 원숭이 실험 결과를 원음으로 전달한다.,clips_v4_curiosity_hook\clip_041_movie_dialogue.mp4
42,895.825,917.891,4700,4722,narration,rising_action,0.18,하지만 그 가설을 시험할 기회는 단 한 번뿐.,실험 결과가 인간 감염망에 성급히 적용되는 논리적 위험을 강조한다.,clips_v4_curiosity_hook\clip_042_narration.mp4
43,917.891,939.957,4984.7,5006.7,movie_dialogue,rising_action,0.95,,CCTV 분석이 강우철을 최초 감염자이자 진압 목표로 확정하는 순간을 살린다.,clips_v4_curiosity_hook\clip_043_movie_dialogue.mp4
44,939.957,961.991,5010,5032,narration,reversal,0.19,옥상 구조와 강우철 사살이 동시에 시작됩니다.,생존자들의 위치 전달과 정부 진압 작전이 동시에 시작되도록 연결한다.,clips_v4_curiosity_hook\clip_044_narration.mp4
45,961.991,984.057,5200,5222,montage,reversal,0.2,모두가 이 한 발이면 끝난다고 믿었습니다.,강우철 사살 직전의 교차 편집으로 두 구조 계획에 걸린 기대를 끌어올린다.,clips_v4_curiosity_hook\clip_045_montage.mp4
46,984.057,1006.09,5446,5468,movie_dialogue,reversal,0.98,,확인 사살 직후에도 감염자들이 움직인다는 실패 반전을 원음으로 폭발시킨다.,clips_v4_curiosity_hook\clip_046_movie_dialogue.mp4
47,1006.09,1028.123,5469,5491,narration,reversal,0.21,하지만 놈들은 멈추지 않았습니다.,정부의 가설 실패가 구조 팀과 생존자들의 마지막 희망을 동시에 무너뜨렸음을 정리한다.,clips_v4_curiosity_hook\clip_047_narration.mp4
48,1028.123,1050.157,5560,5582,narration,reversal,0.17,마침내 세정과 서영철이 마주합니다.,서영철과 권세정의 대면을 과거 연구비 사건과 현재 테러의 사상적 결산으로 만든다.,clips_v4_curiosity_hook\clip_048_narration.mp4
49,1050.157,1072.223,5750,5772,narration,reversal,0.18,그가 원하는 건 복수가 아닌 강제된 하나의 의식.,서영철의 개인적 피해 의식이 인류 전체를 연결하려는 극단적 해답으로 변했음을 설명한다.,clips_v4_curiosity_hook\clip_049_narration.mp4
50,1072.223,1094.256,5881,5903,movie_dialogue,reversal,0.96,,모든 인간의 뇌를 하나로 연결하겠다는 서영철의 최종 목적을 직접 들려준다.,clips_v4_curiosity_hook\clip_050_movie_dialogue.mp4
51,1094.256,1122.523,5904.782,5933.0,movie_dialogue,cliffhanger,0.96,,서영철의 사상을 보여 주되 감염망의 진짜 중심에 관한 최종 반전은 숨긴다.,clips_v4_curiosity_hook\clip_051_movie_dialogue.mp4
52,1122.523,1142.756,5942.82,5963.0,movie_dialogue,cliffhanger,0.96,,백신 확보 작전이 성공한 것처럼 보여 주어 이후 결과에 대한 기대를 만든다.,clips_v4_curiosity_hook\clip_052_movie_dialogue.mp4
53,1142.756,1167.489,5990.826,6015.5,movie_dialogue,cliffhanger,0.96,,백신만 확보한 채 남은 사람들을 버리려는 외부의 판단으로 갈등을 끌어올린다.,clips_v4_curiosity_hook\clip_053_movie_dialogue.mp4
54,1167.489,1190.488,6070.156,6093.137,movie_dialogue,cliffhanger,0.96,,최초 감염자를 제거하면 끝난다는 가설까지만 공개하고 정답은 보여 주지 않는다.,clips_v4_curiosity_hook\clip_054_movie_dialogue.mp4
55,1190.488,1196.522,6093.2,6099.2,ending_teaser,cliffhanger,0.16,"과연 그들이 구해낸 것은, 정말 백신이었을까요?",오프닝의 질문을 회수하되 정답은 숨긴 채 영화 시청 욕구를 남긴다.,clips_v4_curiosity_hook\clip_055_ending_teaser.mp4
