order,timeline_start,timeline_end,source_start,source_end,kind,story_beat,audio_level,narration,purpose,clip
50,1073.267,1095.3,4510,4532,movie_dialogue,reversal,0.97,,콘스탄틴의 의식이 안젤라를 완전한 영매로 만들었다는 실수를 드러낸다.,clips\clip_050_movie_dialogue.mp4
51,1095.3,1117.333,4590,4612,montage,reversal,0.93,,안젤라의 납치와 콘스탄틴의 다급한 추격을 압축한다.,clips\clip_051_montage.mp4
52,1117.333,1139.367,4650,4672,movie_dialogue,reversal,0.98,,콘스탄틴이 희생자가 늘어나는 현실로 미드나잇의 중립을 압박한다.,clips\clip_052_movie_dialogue.mp4
53,1139.367,1161.433,5040,5062,narration,crisis,0.2,,미드나잇의 도움으로 위치를 찾고 결전에 도착했음을 알린다.,clips\clip_053_narration.mp4
54,1161.433,1183.5,5080,5102,movie_dialogue,crisis,0.97,,채즈가 견습생으로 결전에 함께하겠다는 의지를 보여준다.,clips\clip_054_movie_dialogue.mp4
55,1183.5,1205.567,5120,5142,movie_dialogue,crisis,0.98,,책과 현실은 다르다는 경고로 전투의 위험을 강조한다.,clips\clip_055_movie_dialogue.mp4
56,1205.567,1227.633,5160,5182,montage,crisis,0.94,,결전 준비와 성수 장치를 빠르게 보여주며 속도를 높인다.,clips\clip_056_montage.mp4
57,1227.633,1249.667,5215,5237,movie_dialogue,crisis,0.99,,콘스탄틴이 혼혈종들이 균형의 규칙을 깼다고 선언한다.,clips\clip_057_movie_dialogue.mp4
58,1249.667,1271.7,5270,5292,montage,crisis,0.95,,성수 공격과 혼혈종들의 돌진을 교차해 결전 규모를 보여준다.,clips\clip_058_montage.mp4
59,1271.7,1293.733,5350,5372,narration,crisis,0.2,,전투의 목적이 안젤라에게 도달하는 일임을 다시 집중시킨다.,clips\clip_059_narration.mp4
60,1293.733,1315.767,5440,5462,movie_dialogue,crisis,0.99,,안젤라가 자신 안의 존재를 꺼내 달라고 호소하게 한다.,clips\clip_060_movie_dialogue.mp4
61,1315.767,1322.8,5565,5572,ending,climax,0.18,그러나 이 결전은 아직 끝나지 않았다.,정체불명의 더 강한 존재가 개입하기 직전 멈춰 결정적 해결과 반전을 숨긴다.,clips\clip_061_ending.mp4
